name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'STATIC#dread';0.000000;2.175434e+01;4.841216e-01;1.392906e+01;1.514869e+01;3.074448e+01;1.681542e+01;3.138113e+02;3.872617e+02;2.514664e+02;3.890047e+02;5.097929e-01;8.770408e-01;2.167397e-01;3.764287e-01;6.692578e-01;4.525182e-01;7.074055e+00;7.201984e+00;6.216653e+00;7.084747e+00;6.604084e-01;8.466412e-01;2.228817e+01;5.050043e-01;-9.529314e+00;-1.742995e+00;7.548924e+00;1.710240e+00;-1.169645e+01;-1.904469e+00;7.680179e-02;1.185354e+00;2.083393e+00;6.236149e-01;-4.846455e+00;-1.185933e+00;-2.458205e+01;-1.682422e+00;-1.092003e+01;-3.545413e+00;7.581096e+02;3.640707e-01;1.271398e+03;1.729624e-01;-1.417696e+02;-5.955977e-01;1.781150e+03;1.528323e-01;1.076914e+03;2.943245e-01;-1.418696e+02;-5.805072e-01;2.798981e+03;1.062032e-01;1.046762e+03;3.208793e-01;-1.432209e+02;-5.615078e-01;-1.444737e+01;-6.751087e-01;2.449284e+01;4.738469e-01;-7.269791e-03;-1.412704e+01;-1.973836e-02;-5.998136e-01;6.666911e-01;7.206934e-01;2.544845e+01;3.661932e-01;-1.098281e+01;-1.559876e+00;5.727098e+00;2.116437e+00;-8.842495e+00;-2.185321e+00;-1.690196e+01;2.592414e+01;-2.144265e-02;-2.205025e-02;6.613674e-01;6.327305e-01;2.751919e+00;1.047774e-01;1.279120e-01;2.500313e-01;4.788676e-01;-2.852907e+01
'PSYPOLTER#dread';0.000000;1.638106e+01;5.899040e-02;1.586399e+01;1.646002e+01;1.696439e+01;1.100402e+00;7.138766e+01;7.281267e+01;5.600634e+01;6.375479e+01;2.343360e+00;3.805183e-01;1.683107e+00;2.365586e+00;2.986266e+00;1.303159e+00;4.573171e+00;4.489110e+00;3.005825e+00;3.171835e+00;3.238717e+00;5.208265e-01;1.682708e+01;5.819433e-01;-1.235776e+01;-9.785134e-01;2.472219e+01;4.919470e-01;7.565010e+00;1.597786e+00;7.482418e-02;6.004811e-01;1.807172e+00;5.842621e-01;-2.006676e+00;-1.602209e+00;7.116125e+00;4.750855e+00;-2.265333e+00;-1.203014e+01;8.544924e+02;2.578221e-01;9.981287e+02;2.855316e-01;-7.454433e+01;-9.880888e-01;1.828849e+03;1.609512e-01;9.803228e+02;3.536181e-01;-7.351202e+01;-1.007588e+00;2.802324e+03;1.205356e-01;8.920455e+02;3.380707e-01;-7.405873e+01;-9.980561e-01;-1.305432e+01;-5.330600e-01;2.106972e+01;3.866092e-01;-1.238884e-01;-2.116220e-01;1.532965e-03;7.318608e+00;3.401711e+00;5.283964e-01;1.821074e+01;5.064833e-01;-1.092907e+01;-1.105846e+00;2.616106e+01;4.883661e-01;9.356028e+00;1.287235e+00;-6.040080e+00;1.345175e+01;-1.091077e-01;5.864876e-03;2.822551e+00;3.521127e-01;2.244309e+00;3.142857e-01;4.884014e-01;1.322414e-01;1.702943e-01;-1.408210e+01
'PSYVOICES#dread';0.000000;1.793758e+01;1.205559e-01;1.603191e+01;1.837016e+01;1.953665e+01;3.504744e+00;1.060094e+02;1.048755e+02;8.052422e+01;7.100510e+01;1.359292e+00;2.042224e-01;1.110783e+00;1.360376e+00;1.576090e+00;4.653078e-01;3.282267e+00;1.761649e+00;3.450522e+00;2.380098e+00;1.881871e+00;9.543888e-01;2.707476e+01;1.958210e-01;-2.143753e+00;-2.923467e+00;2.239786e+01;3.381510e-01;1.387518e+01;8.010285e-01;7.803372e-02;1.060113e+00;1.585243e+00;6.538846e-01;-8.335201e-01;-4.791702e+00;6.238331e-01;4.329803e+01;1.097849e+01;2.048594e+00;8.521827e+02;2.970966e-01;1.153044e+03;2.320437e-01;-4.410182e+01;-1.134342e+00;1.787590e+03;1.422547e-01;1.000052e+03;2.447442e-01;-4.376578e+01;-1.132263e+00;2.937208e+03;1.304536e-01;7.388206e+02;4.516981e-01;-4.974807e+01;-9.621773e-01;-1.509087e+01;-3.668260e-01;2.402038e+01;2.730787e-01;-7.481688e-02;-4.126744e-01;-4.141908e-03;-2.041187e+00;1.847368e+00;8.943509e-01;2.734148e+01;1.883705e-01;-1.793367e+00;-3.235874e+00;2.290742e+01;3.144469e-01;1.437084e+01;7.765800e-01;-1.065476e+01;1.902283e+01;-5.386965e-02;-4.107295e-03;2.204521e+00;2.722137e+00;2.369912e+00;3.654348e-01;4.324485e-01;5.206897e-02;6.260876e-02;-1.697692e+01
'MUTANT1#dread';0.000000;3.036052e+01;2.002691e-01;2.530310e+01;2.925251e+01;3.473072e+01;9.427612e+00;2.078432e+02;2.231843e+02;1.579808e+02;1.371549e+02;9.283009e-01;9.308325e-01;8.553301e-02;6.325568e-01;2.012460e+00;1.926926e+00;5.433324e+00;4.749967e+00;5.443118e+00;5.449810e+00;9.519467e-01;1.128544e+00;3.390971e+01;4.515761e-01;-1.595945e+01;-5.162900e-01;-1.978168e+01;-4.023163e-01;-2.100335e+01;-5.185366e-01;1.410652e-01;8.835648e-01;1.593869e+00;5.295476e-01;-2.618573e+00;-1.247872e+00;-5.644614e+00;-2.321580e+00;2.422115e+01;5.808681e-01;9.155063e+02;1.201613e-01;1.281128e+03;8.953365e-02;-6.634857e+01;-1.499820e+00;1.792505e+03;6.751809e-02;1.101775e+03;1.293043e-01;-7.391424e+01;-1.249826e+00;2.963695e+03;6.125612e-02;8.891745e+02;2.293369e-01;-8.319250e+01;-1.029283e+00;-1.023358e+01;-3.021599e-01;3.040797e+01;1.413489e-01;1.223275e-01;2.763140e-01;-2.391233e-02;-2.727429e-01;1.322861e+00;8.047889e-01;4.218163e+01;8.098442e-02;-1.849511e+01;-3.089953e-01;-2.219244e+01;-2.816800e-01;-2.580963e+01;-2.456832e-01;-5.100515e+00;1.760567e+01;8.649056e-02;-9.587943e-03;3.244236e-01;7.961784e-01;1.765650e+00;3.518182e-01;3.362580e-01;3.000000e-01;6.291718e-01;-2.417480e+01
'MUTANT2#dread';0.000000;2.192281e+01;2.084468e-01;1.869522e+01;2.149773e+01;2.353022e+01;4.834999e+00;1.838401e+02;2.064054e+02;1.131334e+02;7.104491e+01;6.528670e-01;1.261245e+00;1.133522e-02;3.142121e-01;1.195303e+00;1.183968e+00;6.227288e+00;4.039809e+00;4.554389e+00;2.077427e+00;5.446970e-01;1.556204e+00;2.245914e+01;9.975428e-01;-9.660154e+00;-1.210938e+00;-5.594018e+00;-1.312001e+00;-6.081780e+00;-1.378394e+00;9.476028e-02;1.587508e+00;1.660170e+00;7.638666e-01;-3.020942e+00;-9.640872e-01;-1.209461e+01;-1.492326e+00;6.808939e+00;2.522490e+00;5.485565e+02;3.338562e-01;1.423947e+03;1.548373e-01;-1.106959e+02;-8.524015e-01;1.423284e+03;1.399426e-01;1.197465e+03;2.643210e-01;-1.098977e+02;-8.492744e-01;2.473224e+03;9.799882e-02;9.383916e+02;3.277000e-01;-1.167359e+02;-7.383707e-01;-6.096227e+00;-8.806581e-01;2.304712e+01;3.030102e-01;3.947075e-02;5.720751e-01;-8.207192e-03;-1.568105e+00;1.084943e+00;8.996917e-01;4.082347e+01;2.173015e-01;-1.680700e+01;-5.928226e-01;-4.685538e+00;-1.676935e+00;-8.555220e+00;-9.384239e-01;-4.317636e-01;9.823631e+00;5.802317e-02;1.871203e-04;1.053180e-01;1.165501e+00;3.066038e+00;1.376923e-01;9.528531e-02;1.638462e-01;2.586515e-01;-2.605330e+01
'MUTANT3#dread';0.000000;4.061265e+01;1.095656e-01;4.023566e+01;4.247690e+01;4.313453e+01;2.898865e+00;1.982312e+02;5.506663e+01;6.963625e+01;6.949930e+01;3.260379e-01;7.290610e-01;6.183975e-02;3.450305e-01;5.766478e-01;5.148081e-01;2.297971e+00;9.253095e-01;1.910015e+00;1.249974e+00;1.202587e-01;9.223173e-01;3.394317e+01;4.571746e-01;-3.966510e+00;-2.368603e+00;-3.386691e+01;-3.582620e-01;-3.185272e+01;-4.177796e-01;3.843376e-02;1.785578e+00;9.382334e-01;7.176031e-01;9.847279e+00;7.125371e-01;9.322286e+00;1.139357e+00;4.278603e+01;2.565403e-01;7.440193e+02;2.308628e-01;1.434153e+03;1.393097e-01;-7.378759e+01;-1.363108e+00;1.596351e+03;1.130906e-01;1.146917e+03;2.481616e-01;-7.393840e+01;-1.169311e+00;2.876043e+03;1.377646e-01;1.013933e+03;3.996921e-01;-8.795901e+01;-8.769252e-01;-1.740651e+01;-2.720869e-01;4.137741e+01;1.283398e-01;1.186500e-01;3.071448e-01;-3.318626e-02;-2.251849e-01;1.727609e-01;5.704618e-01;4.319628e+01;9.581705e-02;-9.415564e+00;-6.039693e-01;-3.926323e+01;-1.771602e-01;-3.491423e+01;-2.771720e-01;-1.299396e+01;2.453951e+01;1.425794e-01;-3.008316e-02;1.183799e-02;1.978417e+00;5.444646e-01;1.240000e+00;1.690108e+00;5.700000e-01;7.495776e-01;-3.524207e+01
'SCREAM#dread';0.000000;5.578323e+01;5.869219e-02;5.496024e+01;5.676884e+01;5.731654e+01;2.356300e+00;7.854453e+01;5.655189e+01;3.727634e+01;4.375049e+01;7.378669e-01;7.598900e-01;1.460264e-01;7.052454e-01;1.258936e+00;1.112909e+00;6.671259e+00;2.631493e+00;6.436050e+00;3.239602e+00;8.686777e-01;9.750019e-01;2.746349e+01;3.136997e-01;-2.387860e+01;-8.134901e-01;-3.578662e+01;-4.307680e-01;-1.078481e+01;-7.028417e-01;3.778698e-02;9.886776e-01;1.621837e+00;3.302913e-01;9.897020e+00;3.704664e-01;2.276606e+01;5.994315e-01;2.738676e+01;4.519478e-01;7.459510e+02;3.075902e-01;1.362093e+03;1.773579e-01;-1.504916e+02;-5.713620e-01;1.598051e+03;1.104133e-01;1.138158e+03;3.107965e-01;-6.008992e+01;-1.221224e+00;2.611145e+03;1.073821e-01;1.047960e+03;3.866846e-01;-7.789430e+01;-8.266594e-01;-1.270821e+01;-3.449057e-01;3.416669e+01;2.038346e-01;-2.234801e-02;-1.397564e+00;-1.732908e-02;-3.855549e-01;1.120733e+00;7.236997e-01;3.094737e+01;1.197731e-01;-3.175041e+01;-4.633245e-01;-4.302502e+01;-1.796797e-01;-1.239703e+01;-5.741308e-01;-1.412203e+01;2.799220e+01;-2.437905e-03;-9.107400e-03;4.136840e-02;3.187251e+00;4.065041e-01;1.910000e+00;0;2.600000e-01;1.100000e-01;-2.356967e+01
'SPOOK1#dread';0.000000;0;0;0;0;0;0;0;0;0;0;2.158219e-02;3.673613e+00;6.381149e-03;6.689081e-03;7.919419e-03;1.538269e-03;1.399623e+00;9.895973e-01;1.111860e-01;0;3.543275e-03;6.961638e+00;-6.534738e+00;-8.599821e-01;1.724793e+00;3.547748e+00;-5.718912e+00;-6.780785e-01;1.207633e+00;3.649343e+00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;0;0;-201;0;0;0;0;0;-201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.217900e+00;3.094349e+00;7.304038e-02;7.845549e-03;3.557686e-03;6.920415e-02;0;0;0;1.439000e+01;0;-6.038018e+01
'SPOOK2#dread';0.000000;2.674193e+01;7.432620e-02;2.593472e+01;2.658663e+01;2.777680e+01;1.842079e+00;6.961980e+01;5.091021e+01;6.210588e+01;6.581546e+01;4.274250e-01;6.093694e-01;1.517220e-01;3.964230e-01;7.050220e-01;5.533000e-01;1.348482e+00;8.242474e-01;1.263509e+00;5.199685e-01;3.134370e-01;7.865832e-01;5.052723e+01;9.969115e-02;-1.131347e+01;-6.538392e-01;-3.306488e+01;-1.975922e-01;-2.655316e+01;-1.699902e-01;6.283873e-02;1.177113e+00;1.568685e+00;5.384424e-01;-2.213397e+00;-1.412363e+00;-6.192408e+00;-1.129407e+00;3.462355e+01;2.916487e-01;8.533463e+02;1.680515e-01;1.409004e+03;1.233085e-01;-3.281568e+00;-2.258009e+01;1.768117e+03;9.913041e-02;1.191682e+03;2.482067e-01;-1.941235e+01;-3.451083e+00;2.896245e+03;1.173499e-01;1.434907e+03;2.618737e-01;-3.608811e+01;-1.695734e+00;-1.641201e+01;-1.776091e-01;3.581704e+01;1.092296e-01;1.643682e-01;9.329484e-02;-3.795141e-02;-1.301908e-01;3.612987e-01;6.455213e-01;5.171649e+01;6.505282e-02;-1.344861e+01;-4.015421e-01;-3.243589e+01;-2.042866e-01;-2.611571e+01;-1.758852e-01;-1.932755e+01;4.167150e+01;1.782479e-01;-3.839802e-02;2.347881e-02;1.377411e+00;2.808989e-01;3.120000e+00;0;2.050000e-01;1.850000e-01;-3.379419e+01
'DRONE#dread';0.000000;5.254543e+01;9.656211e-03;5.218007e+01;5.257614e+01;5.292698e+01;7.469101e-01;2.465897e+01;1.869540e+01;1.765107e+01;9.309767e+00;1.872750e-01;7.379012e-01;5.286396e-02;1.463615e-01;3.314652e-01;2.786013e-01;2.432533e+00;2.000507e+00;1.929695e+00;9.337199e-01;2.059760e-01;1.092495e+00;3.781979e+01;2.121724e-01;6.541499e+00;6.405070e-01;-2.928249e+01;-1.537683e-01;-4.586046e+01;-9.205082e-02;3.454558e-02;3.591512e-01;1.765299e+00;3.070837e-01;1.063264e+01;1.818557e-01;1.418365e+01;3.782808e-01;2.766963e+01;1.600167e-01;8.492753e+02;7.708186e-02;1.185813e+03;9.560454e-02;-1.710897e+02;-3.581779e-01;1.871748e+03;6.757882e-02;1.157945e+03;2.337730e-01;-9.022385e+01;-6.712393e-01;3.077921e+03;3.020900e-02;9.193608e+02;1.900097e-01;-1.004087e+02;-5.452193e-01;-3.220346e+01;-9.622491e-02;5.370296e+01;4.682012e-02;1.493634e-01;1.322505e-01;-6.358342e-02;-8.119991e-02;2.671252e-01;8.484744e-01;4.120624e+01;9.497721e-02;4.966420e+00;5.994573e-01;-2.972440e+01;-1.239203e-01;-4.639263e+01;-7.349584e-02;-2.996107e+01;4.551761e+01;1.683967e-01;-5.935194e-02;2.626068e-02;3.504043e+00;5.479452e-01;1.370000e+00;1.350000e+00;2.075000e-01;2.216275e-01;-3.705821e+01
