name;frameTime;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'STATIC_scary';0.000000;2.175434e+01;4.841216e-01;1.392906e+01;1.514869e+01;3.074448e+01;1.681542e+01;3.138113e+02;3.872617e+02;2.514664e+02;3.890047e+02;5.097929e-01;8.770408e-01;2.167397e-01;3.764287e-01;6.692578e-01;4.525182e-01;7.074055e+00;7.201984e+00;6.216653e+00;7.084747e+00;6.604084e-01;8.466412e-01;2.228817e+01;5.050043e-01;-9.529314e+00;-1.742995e+00;7.548924e+00;1.710240e+00;-1.169645e+01;-1.904469e+00;7.680179e-02;1.185354e+00;2.083393e+00;6.236149e-01;-4.846455e+00;-1.185933e+00;-2.458205e+01;-1.682422e+00;-1.092003e+01;-3.545413e+00;7.581096e+02;3.640707e-01;1.271398e+03;1.729624e-01;-1.417696e+02;-5.955977e-01;1.781150e+03;1.528323e-01;1.076914e+03;2.943245e-01;-1.418696e+02;-5.805072e-01;2.798981e+03;1.062032e-01;1.046762e+03;3.208793e-01;-1.432209e+02;-5.615078e-01;-1.444737e+01;-6.751087e-01;2.449284e+01;4.738469e-01;-7.269791e-03;-1.412704e+01;-1.973836e-02;-5.998136e-01;6.666911e-01;7.206934e-01;2.544845e+01;3.661932e-01;-1.098281e+01;-1.559876e+00;5.727098e+00;2.116437e+00;-8.842495e+00;-2.185321e+00;-1.690196e+01;2.592414e+01;-2.144265e-02;-2.205025e-02;6.613674e-01;6.327305e-01;2.751919e+00;1.047774e-01;1.279120e-01;2.500313e-01;4.788676e-01;-2.852907e+01
'PSYVOICES_scary';0.000000;1.793758e+01;1.205559e-01;1.603191e+01;1.837016e+01;1.953665e+01;3.504744e+00;1.060094e+02;1.048755e+02;8.052422e+01;7.100510e+01;1.359292e+00;2.042224e-01;1.110783e+00;1.360376e+00;1.576090e+00;4.653078e-01;3.282267e+00;1.761649e+00;3.450522e+00;2.380098e+00;1.881871e+00;9.543888e-01;2.707476e+01;1.958210e-01;-2.143753e+00;-2.923467e+00;2.239786e+01;3.381510e-01;1.387518e+01;8.010285e-01;7.803372e-02;1.060113e+00;1.585243e+00;6.538846e-01;-8.335201e-01;-4.791702e+00;6.238331e-01;4.329803e+01;1.097849e+01;2.048594e+00;8.521827e+02;2.970966e-01;1.153044e+03;2.320437e-01;-4.410182e+01;-1.134342e+00;1.787590e+03;1.422547e-01;1.000052e+03;2.447442e-01;-4.376578e+01;-1.132263e+00;2.937208e+03;1.304536e-01;7.388206e+02;4.516981e-01;-4.974807e+01;-9.621773e-01;-1.509087e+01;-3.668260e-01;2.402038e+01;2.730787e-01;-7.481688e-02;-4.126744e-01;-4.141908e-03;-2.041187e+00;1.847368e+00;8.943509e-01;2.734148e+01;1.883705e-01;-1.793367e+00;-3.235874e+00;2.290742e+01;3.144469e-01;1.437084e+01;7.765800e-01;-1.065476e+01;1.902283e+01;-5.386965e-02;-4.107295e-03;2.204521e+00;2.722137e+00;2.369912e+00;3.654348e-01;4.324485e-01;5.206897e-02;6.260876e-02;-1.697692e+01
'PSYPOLTER_scary';0.000000;1.638106e+01;5.899040e-02;1.586399e+01;1.646002e+01;1.696439e+01;1.100402e+00;7.138766e+01;7.281267e+01;5.600634e+01;6.375479e+01;2.343360e+00;3.805183e-01;1.683107e+00;2.365586e+00;2.986266e+00;1.303159e+00;4.573171e+00;4.489110e+00;3.005825e+00;3.171835e+00;3.238717e+00;5.208265e-01;1.682708e+01;5.819433e-01;-1.235776e+01;-9.785134e-01;2.472219e+01;4.919470e-01;7.565010e+00;1.597786e+00;7.482418e-02;6.004811e-01;1.807172e+00;5.842621e-01;-2.006676e+00;-1.602209e+00;7.116125e+00;4.750855e+00;-2.265333e+00;-1.203014e+01;8.544924e+02;2.578221e-01;9.981287e+02;2.855316e-01;-7.454433e+01;-9.880888e-01;1.828849e+03;1.609512e-01;9.803228e+02;3.536181e-01;-7.351202e+01;-1.007588e+00;2.802324e+03;1.205356e-01;8.920455e+02;3.380707e-01;-7.405873e+01;-9.980561e-01;-1.305432e+01;-5.330600e-01;2.106972e+01;3.866092e-01;-1.238884e-01;-2.116220e-01;1.532965e-03;7.318608e+00;3.401711e+00;5.283964e-01;1.821074e+01;5.064833e-01;-1.092907e+01;-1.105846e+00;2.616106e+01;4.883661e-01;9.356028e+00;1.287235e+00;-6.040080e+00;1.345175e+01;-1.091077e-01;5.864876e-03;2.822551e+00;3.521127e-01;2.244309e+00;3.142857e-01;4.884014e-01;1.322414e-01;1.702943e-01;-1.408210e+01
'MUTANT_scary';0.000000;3.036052e+01;2.002691e-01;2.530310e+01;2.925251e+01;3.473072e+01;9.427612e+00;2.078432e+02;2.231843e+02;1.579808e+02;1.371549e+02;9.283009e-01;9.308325e-01;8.553301e-02;6.325568e-01;2.012460e+00;1.926926e+00;5.433324e+00;4.749967e+00;5.443118e+00;5.449810e+00;9.519467e-01;1.128544e+00;3.390971e+01;4.515761e-01;-1.595945e+01;-5.162900e-01;-1.978168e+01;-4.023163e-01;-2.100335e+01;-5.185366e-01;1.410652e-01;8.835648e-01;1.593869e+00;5.295476e-01;-2.618573e+00;-1.247872e+00;-5.644614e+00;-2.321580e+00;2.422115e+01;5.808681e-01;9.155063e+02;1.201613e-01;1.281128e+03;8.953365e-02;-6.634857e+01;-1.499820e+00;1.792505e+03;6.751809e-02;1.101775e+03;1.293043e-01;-7.391424e+01;-1.249826e+00;2.963695e+03;6.125612e-02;8.891745e+02;2.293369e-01;-8.319250e+01;-1.029283e+00;-1.023358e+01;-3.021599e-01;3.040797e+01;1.413489e-01;1.223275e-01;2.763140e-01;-2.391233e-02;-2.727429e-01;1.322861e+00;8.047889e-01;4.218163e+01;8.098442e-02;-1.849511e+01;-3.089953e-01;-2.219244e+01;-2.816800e-01;-2.580963e+01;-2.456832e-01;-5.100515e+00;1.760567e+01;8.649056e-02;-9.587943e-03;3.244236e-01;7.961784e-01;1.765650e+00;3.518182e-01;3.362580e-01;3.000000e-01;6.291718e-01;-2.417480e+01
'SPOOK_scary';0.000000;0;0;0;0;0;0;0;0;0;0;2.702331e-02;3.362926e+00;6.360760e-03;6.754576e-03;8.190358e-03;1.829598e-03;7.269720e+00;5.367477e+00;7.868770e+00;6.129734e+00;4.932285e-03;5.398727e+00;-6.622179e+00;-7.907695e-01;7.592009e-01;1.054818e+01;-5.833220e+00;-6.284177e-01;5.197107e-01;8.339428e+00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-201;0;0;0;0;0;-201;0;0;0;0;0;-201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.392916e+00;2.993049e+00;7.246322e-02;7.915965e-03;4.952203e-03;3.460208e-01;0;0;0;1.439000e+01;0;-5.954781e+01
'RADIOSIG_tame';0.000000;4.978729e+01;1.215656e-01;4.305980e+01;5.060258e+01;5.566430e+01;1.260451e+01;1.641492e+02;9.735522e+01;1.208686e+02;7.852013e+01;7.789785e-01;3.985470e-01;5.363028e-01;8.432224e-01;1.045381e+00;5.090779e-01;7.067441e+00;3.758952e+00;5.530864e+00;2.409784e+00;4.873606e-01;5.233778e-01;-2.335034e+00;-4.076664e+00;-5.866095e+01;-2.623460e-01;-1.573824e+01;-6.176586e-01;-1.087929e+01;-2.158396e+00;7.159314e-02;1.038048e+00;2.449576e+00;3.793617e-01;-6.791216e-01;-6.193138e+00;6.501004e+00;2.205437e+00;1.177126e+01;1.210004e+00;1.197394e+03;1.072419e-01;1.047669e+03;2.112410e-01;1.358190e+01;4.314620e+00;2.059423e+03;5.369097e-02;1.100437e+03;1.588834e-01;8.274814e+00;6.200510e+00;3.005027e+03;4.596937e-02;8.389595e+02;1.874861e-01;1.578221e+00;3.081124e+01;1.362951e+01;9.183741e-01;1.232608e+01;5.272569e-01;6.501227e-02;2.680409e-01;2.744276e-02;9.961947e-01;5.407041e-01;4.065467e-01;-2.195369e+00;-4.221856e+00;-6.245779e+01;-1.958774e-01;-1.631290e+01;-5.952442e-01;-8.988695e+00;-2.492714e+00;1.723813e+01;7.041363e+00;6.801058e-02;2.723831e-02;1.133426e-01;5.076142e+00;1.104972e+00;8.450000e-01;5.150000e-01;4.000000e-02;1.000000e-02;-3.307491e+01
'DOG_tame';0.000000;3.460218e+01;1.165938e-01;3.004937e+01;3.581440e+01;3.724123e+01;7.191868e+00;2.432668e+02;1.738180e+02;2.686278e+01;3.969806e+01;1.178928e-01;8.405796e-01;2.414767e-02;9.460141e-02;1.999638e-01;1.758161e-01;1.460675e+00;1.017792e+00;1.205898e+00;6.697618e-01;6.104271e-02;1.101296e+00;3.642895e+01;2.981429e-01;-1.163394e+01;-9.228616e-01;-5.036972e+01;-2.453520e-01;-4.367595e+01;-1.160244e-01;8.778341e-02;7.778853e-01;2.265781e+00;4.343951e-01;4.690242e-01;5.797601e+00;-9.258827e+00;-1.595638e+00;4.783332e+01;3.305461e-01;8.461489e+02;1.117829e-01;1.263474e+03;8.694027e-02;-8.411866e+01;-1.407276e+00;1.705991e+03;6.107715e-02;8.836561e+02;1.305566e-01;-9.072162e+01;-1.208171e+00;3.160466e+03;7.130716e-02;1.064535e+03;1.450586e-01;-1.071335e+02;-8.708107e-01;-1.905849e+01;-1.312649e-01;4.872802e+01;5.618040e-02;1.964363e-01;1.104836e-01;-4.060744e-02;-1.678031e-01;1.162959e-01;5.052425e-01;4.365772e+01;9.657467e-02;-2.052132e+01;-1.999447e-01;-5.805447e+01;-5.287803e-02;-4.449435e+01;-1.056090e-01;-2.020277e+01;4.204984e+01;2.070876e-01;-3.902475e-02;1.167426e-02;2.325582e+00;1.204819e+00;4.000000e-01;3.100000e-01;4.050000e-01;3.250000e-01;-4.696567e+01
'CROW_tame';0.000000;4.077534e+01;3.715213e-02;3.935275e+01;4.136129e+01;4.194672e+01;2.593971e+00;4.437801e+01;1.602611e+01;1.161486e+01;2.284536e-01;6.032259e-01;5.629063e-01;2.943998e-01;6.176481e-01;9.719253e-01;6.775255e-01;2.981172e+00;3.094020e+00;1.373651e+00;0;3.156511e-01;6.828718e-01;1.766678e+01;5.433251e-01;-2.925911e+01;-2.210223e-01;-3.200526e+01;-2.205969e-01;-6.477131e+00;-1.544273e+00;7.158764e-02;3.972084e-01;1.985717e+00;3.031486e-01;-3.758879e+00;-9.669088e-01;-5.043534e+00;-1.428937e+00;7.395947e+00;1.191290e+00;8.227515e+02;2.185274e-01;1.206020e+03;1.860473e-01;-1.406646e+01;-2.025031e+00;1.656180e+03;9.883384e-02;1.114517e+03;3.743225e-01;-8.365234e+00;-3.042852e+00;2.893979e+03;1.332468e-01;5.871680e+02;5.276775e-01;-2.784635e+01;-8.759004e-01;5.022339e+00;6.575323e-01;2.611367e+01;1.977894e-01;1.528242e-01;1.466920e-01;4.032787e-02;1.244495e-01;3.456211e-01;5.910398e-01;1.713816e+01;5.740449e-01;-2.944627e+01;-2.067246e-01;-3.202216e+01;-2.158632e-01;-6.993013e+00;-1.503104e+00;4.162726e+00;2.351686e+01;1.263360e-01;3.608875e-02;4.928218e-02;1.176471e+00;1.265823e+00;7.600000e-01;0;0;0;-3.502358e+01
'OWL_tame';0.000000;5.247861e+01;1.401213e-02;5.186961e+01;5.264235e+01;5.306077e+01;1.191158e+00;3.925407e+01;1.942619e+01;2.693368e+01;1.845034e+01;7.487580e-02;1.147344e+00;6.160690e-03;2.631344e-02;1.624862e-01;1.563255e-01;1.304183e+00;7.543678e-01;1.148715e+00;5.286694e-01;6.750911e-02;1.502388e+00;1.593094e+01;1.177840e+00;4.494187e+00;1.244220e+00;-2.072903e+01;-5.874576e-01;-3.328240e+01;-6.907902e-01;2.214554e-02;5.162121e-01;1.506512e+00;4.156367e-01;1.313844e+01;1.939784e-01;2.326339e+01;3.279907e-01;2.804826e+01;2.977392e-01;8.736519e+02;7.600258e-02;1.132868e+03;9.779659e-02;-1.850713e+02;-2.584876e-01;1.988095e+03;6.756879e-02;1.174649e+03;2.020635e-01;-1.472563e+02;-4.437265e-01;3.122986e+03;3.686119e-02;9.570422e+02;1.972614e-01;-1.491842e+02;-4.220208e-01;-3.279276e+01;-1.183473e-01;5.510292e+01;4.415612e-02;1.169976e-01;2.594656e-01;-5.980767e-02;-8.882567e-02;1.647698e-01;6.241774e-01;3.398354e+01;1.183287e-01;1.564502e+00;2.978657e+00;-3.176966e+01;-1.357104e-01;-5.257722e+01;-6.988242e-02;-1.441818e+01;2.434265e+01;1.206127e-01;-2.098298e-02;5.203549e-03;2.404810e+00;4.073320e-01;9.600000e-01;9.400000e-01;7.275000e-01;6.025103e-01;-4.437913e+01
'BRANCH_tame';0.000000;2.521501e+01;2.316999e-01;2.049712e+01;2.386211e+01;2.830842e+01;7.811300e+00;1.604059e+02;1.049152e+02;2.612178e+02;0;5.217076e-02;1.236838e+00;8.307714e-03;9.568374e-03;1.003784e-01;9.207068e-02;2.244897e+00;2.893324e+00;6.816536e-01;5.780620e-01;8.340855e-03;2.290157e+00;6.966228e-01;1.647959e+01;2.239614e+00;2.243428e+00;-3.389953e+00;-1.428560e+00;-1.390351e-02;-4.699622e+02;0;0;7.023668e-02;0;-3.346035e+00;-3.714384e-01;-6.487061e+00;-8.359333e-01;8.440962e+00;5.744782e-01;5.225132e+02;3.181495e-01;1.149798e+03;1.161907e-01;-1.991692e+02;-7.391686e-02;1.497658e+03;1.168074e-01;9.518124e+02;1.724364e-01;-1.989044e+02;-8.018047e-02;2.518622e+03;9.192180e-02;7.458017e+02;2.947111e-01;-1.989686e+02;-7.777508e-02;-5.884433e+00;-4.926297e-01;1.330247e+01;2.627551e-01;3.206225e-02;7.152508e-01;-7.385394e-03;-7.456422e-01;3.210925e-02;4.154296e-01;1.128347e+01;4.421017e-01;6.307236e-01;1.585367e+01;5.327810e-01;1.262627e+01;-1.135352e+01;-6.485015e-01;-1.734971e-01;6.520154e+00;5.468711e-02;2.100320e-03;8.109942e-03;5.536332e-01;2.083333e-01;2.000000e-02;0;2.368333e+00;3.709580e+00;-6.242709e+01
