category	deployed	pool	source_path	band_min	band_max
bats	sound_01_248dfc0340	AudioExpansion	ambient/trx/nature/bats/sound_01	2.0	150.0
bats	sound_02_9fcbab3ade	AudioExpansion	ambient/trx/nature/bats/sound_02	2.0	150.0
bats	sound_01_5f990e3522	AudioExpansion	ambient/trx/spooks_below/bats/sound_01	2.0	150.0
bats	sound_02_bf5ef6d17a	AudioExpansion	ambient/trx/spooks_below/bats/sound_02	2.0	150.0
bats	sound_03_635edf4cf9	AudioExpansion	ambient/trx/nature/bats/sound_03	2.0	150.0
bats	sound_03_37fa540bea	AudioExpansion	ambient/trx/spooks_below/bats/sound_03	2.0	150.0
bats	sound_04_557875ffb5	AudioExpansion	ambient/trx/nature/bats/sound_04	2.0	150.0
bats	sound_05_e55c8b172a	AudioExpansion	ambient/trx/nature/bats/sound_05	2.0	150.0
bats	sound_06_1d090087aa	AudioExpansion	ambient/trx/nature/bats/sound_06	2.0	150.0
bats	sound_04_66884ed522	AudioExpansion	ambient/trx/spooks_below/bats/sound_04	2.0	150.0
bats	sound_05_14c0301cfb	AudioExpansion	ambient/trx/spooks_below/bats/sound_05	2.0	150.0
bats	sound_06_7186d712f6	AudioExpansion	ambient/trx/spooks_below/bats/sound_06	2.0	150.0
dark_signal	darksignal1_5ee7a3a45c	Amplified	ambient/soundscape/dark_signal/darksignal1	2.0	100.0
dark_signal	darksignal10_fa5f7e70fa	Amplified	ambient/soundscape/dark_signal/darksignal10	2.0	100.0
dark_signal	darksignal11_1ed5d270e5	Amplified	ambient/soundscape/dark_signal/darksignal11	2.0	100.0
dark_signal	darksignal12_d146dae260	Amplified	ambient/soundscape/dark_signal/darksignal12	2.0	100.0
dark_signal	darksignal13_145effec8d	Amplified	ambient/soundscape/dark_signal/darksignal13	2.0	100.0
dark_signal	darksignal14_dfb37951d4	Amplified	ambient/soundscape/dark_signal/darksignal14	2.0	100.0
dark_signal	darksignal15_a635ddcae4	Amplified	ambient/soundscape/dark_signal/darksignal15	2.0	100.0
dark_signal	darksignal16_4b8fb0ecc7	Amplified	ambient/soundscape/dark_signal/darksignal16	2.0	100.0
dark_signal	darksignal17_e10e54b888	Amplified	ambient/soundscape/dark_signal/darksignal17	2.0	100.0
dark_signal	darksignal18_2927ef75bd	Amplified	ambient/soundscape/dark_signal/darksignal18	2.0	100.0
dark_signal	darksignal2_1f4c93ec30	Amplified	ambient/soundscape/dark_signal/darksignal2	2.0	100.0
dark_signal	darksignal3_0a7fe70731	Amplified	ambient/soundscape/dark_signal/darksignal3	2.0	100.0
dark_signal	darksignal4_d3ee6849fe	Amplified	ambient/soundscape/dark_signal/darksignal4	2.0	100.0
dark_signal	darksignal5_417b4ef8a3	Amplified	ambient/soundscape/dark_signal/darksignal5	2.0	100.0
dark_signal	darksignal6_339a89083f	Amplified	ambient/soundscape/dark_signal/darksignal6	2.0	100.0
dark_signal	darksignal7_3194c0c98f	Amplified	ambient/soundscape/dark_signal/darksignal7	2.0	100.0
dark_signal	darksignal8_050a3cf314	Amplified	ambient/soundscape/dark_signal/darksignal8	2.0	100.0
dark_signal	darksignal9_f5e0134b57	Amplified	ambient/soundscape/dark_signal/darksignal9	2.0	100.0
dark_signal	radiosignal1_6b6be62e5b	Amplified	ambient/soundscape/dark_signal/radiosignal1	2.0	100.0
dark_signal	radiosignal10_23ff68a56d	Amplified	ambient/soundscape/dark_signal/radiosignal10	2.0	100.0
dark_signal	radiosignal11_1d7c30031f	Amplified	ambient/soundscape/dark_signal/radiosignal11	2.0	100.0
dark_signal	radiosignal12_277d14fcf8	Amplified	ambient/soundscape/dark_signal/radiosignal12	2.0	100.0
dark_signal	radiosignal13_48ebebf227	Amplified	ambient/soundscape/dark_signal/radiosignal13	2.0	100.0
dark_signal	radiosignal14_c7ae23c70d	Amplified	ambient/soundscape/dark_signal/radiosignal14	2.0	100.0
dark_signal	radiosignal15_241970c6e1	Amplified	ambient/soundscape/dark_signal/radiosignal15	2.0	100.0
dark_signal	radiosignal16_923f24a266	Amplified	ambient/soundscape/dark_signal/radiosignal16	2.0	100.0
dark_signal	radiosignal17_bdcd83ca15	Amplified	ambient/soundscape/dark_signal/radiosignal17	2.0	100.0
dark_signal	radiosignal18_889b3f6524	Amplified	ambient/soundscape/dark_signal/radiosignal18	2.0	100.0
dark_signal	radiosignal19_a22dba562a	Amplified	ambient/soundscape/dark_signal/radiosignal19	2.0	100.0
dark_signal	radiosignal2_a90cb415dd	Amplified	ambient/soundscape/dark_signal/radiosignal2	2.0	100.0
dark_signal	radiosignal20_cef69b36af	Amplified	ambient/soundscape/dark_signal/radiosignal20	2.0	100.0
dark_signal	radiosignal21_a37dfb94ca	Amplified	ambient/soundscape/dark_signal/radiosignal21	2.0	100.0
dark_signal	radiosignal22_cca79b824f	Amplified	ambient/soundscape/dark_signal/radiosignal22	2.0	100.0
dark_signal	radiosignal23_4be64d5e8a	Amplified	ambient/soundscape/dark_signal/radiosignal23	2.0	100.0
dark_signal	radiosignal24_9fac3b79ad	Amplified	ambient/soundscape/dark_signal/radiosignal24	2.0	100.0
dark_signal	radiosignal25_af12471ba3	Amplified	ambient/soundscape/dark_signal/radiosignal25	2.0	100.0
dark_signal	radiosignal26_34768ffac9	Amplified	ambient/soundscape/dark_signal/radiosignal26	2.0	100.0
dark_signal	radiosignal27_ba9a9b08c1	Amplified	ambient/soundscape/dark_signal/radiosignal27	2.0	100.0
dark_signal	radiosignal28_00ee647eb7	Amplified	ambient/soundscape/dark_signal/radiosignal28	2.0	100.0
dark_signal	radiosignal29_b230f9f54f	Amplified	ambient/soundscape/dark_signal/radiosignal29	2.0	100.0
dark_signal	radiosignal3_f311a2c4f6	Amplified	ambient/soundscape/dark_signal/radiosignal3	2.0	100.0
dark_signal	radiosignal30_82e9323810	Amplified	ambient/soundscape/dark_signal/radiosignal30	2.0	100.0
dark_signal	radiosignal31_c86b9e85f9	Amplified	ambient/soundscape/dark_signal/radiosignal31	2.0	100.0
dark_signal	radiosignal32_78860ef858	Amplified	ambient/soundscape/dark_signal/radiosignal32	2.0	100.0
