category	sounds	source_folders(count)
mutant	1092	Amplified:ambient/soundscape/mutants/bloodsucker(5); Amplified:ambient/soundscape/mutants/boar(5); Amplified:ambient/soundscape/mutants/burer(7); Amplified:ambient/soundscape/mutants/cat(6); Amplified:ambient/soundscape/mutants/chimera(8); Amplified:ambient/soundscape/mutants/controller(7); Amplified:ambient/soundscape/mutants/dog(8); Amplified:ambient/soundscape/mutants/flesh(5); Amplified:ambient/soundscape/mutants/fracture(6); Amplified:ambient/soundscape/mutants/giant(5); Amplified:ambient/soundscape/mutants/lurker(5); Amplified:ambient/soundscape/mutants/lurker/back(3); Amplified:ambient/soundscape/mutants/poltergeist(9); Amplified:ambient/soundscape/mutants/psysucker(5); Amplified:ambient/soundscape/mutants/snork(6); Amplified:ambient/soundscape/mutants/snork/bck(4); Amplified:ambient/soundscape/mutants/zombie(8); Amplified:ambient/soundscape/underground/spooks_above/mutants(40); Amplified:ambient/trx/spooks_above/mutants(40); Amplified:monsters/biblio(1); Amplified:monsters/bloodsucker(18); Amplified:monsters/boar(8); Amplified:monsters/burer(6); Amplified:monsters/cat(7); Amplified:monsters/chimera(6); Amplified:monsters/controller(13); Amplified:monsters/dog(17); Amplified:monsters/flesh(11); Amplified:monsters/fracture(10); Amplified:monsters/fracture/bck(3); Amplified:monsters/giant(5); Amplified:monsters/lurker(30); Amplified:monsters/pauk(8); Amplified:monsters/poltergeist(11); Amplified:monsters/poltergeist/bck(7); Amplified:monsters/pseudodog(8); Amplified:monsters/psysucker(8); Amplified:monsters/rat(4); Amplified:monsters/snork(6); Amplified:monsters/zombie(21); AudioExpansion:ambient/trx/spooks_above/mutants(11); DSMutants:monsters/biblio(1); DSMutants:monsters/bloodsucker(18); DSMutants:monsters/boar(8); DSMutants:monsters/burer(6); DSMutants:monsters/cat(7); DSMutants:monsters/chimera(6); DSMutants:monsters/controller(13); DSMutants:monsters/dog(17); DSMutants:monsters/flesh(11); DSMutants:monsters/fracture(10); DSMutants:monsters/giant(5); DSMutants:monsters/lurker(30); DSMutants:monsters/pauk(8); DSMutants:monsters/poltergeist(11); DSMutants:monsters/pseudodog(8); DSMutants:monsters/psysucker(8); DSMutants:monsters/rat(4); DSMutants:monsters/snork(6); DSMutants:monsters/zombie(21); DarkSignal304:ambient/soundscape/mutants/bloodsucker(3); DarkSignal304:ambient/soundscape/mutants/boar(5); DarkSignal304:ambient/soundscape/mutants/burer(7); DarkSignal304:ambient/soundscape/mutants/cat(3); DarkSignal304:ambient/soundscape/mutants/chimera(1); DarkSignal304:ambient/soundscape/mutants/controller(7); DarkSignal304:ambient/soundscape/mutants/dog(8); DarkSignal304:ambient/soundscape/mutants/flesh(5); DarkSignal304:ambient/soundscape/mutants/giant(2); DarkSignal304:ambient/soundscape/mutants/lurker(2); DarkSignal304:ambient/soundscape/mutants/snork(4); DarkSignal304:ambient/soundscape/mutants/zombie(3); DarkSignal304:ambient/soundscape/underground/spooks_above/mutants(40); DarkSignal304:ambient/trx/spooks_above/mutants(40); DeadAir:ambient/lar_ambients/af3(16); DeadAir:ambient/lar_nature/af3(16); DeadAir:ambient/rnd_outdoor(19); DeadAir:monsters/bloodsucker(18); DeadAir:monsters/bloodsucker/distant(2); DeadAir:monsters/boar(14); DeadAir:monsters/burer(6); DeadAir:monsters/cat(7); DeadAir:monsters/chimera(10); DeadAir:monsters/controller(4); DeadAir:monsters/controller/distant(2); DeadAir:monsters/crow(16); DeadAir:monsters/dog(30); DeadAir:monsters/dog/distant(11); DeadAir:monsters/flesh(11); DeadAir:monsters/fracture(3); DeadAir:monsters/giant(5); DeadAir:monsters/giant/distant(3); DeadAir:monsters/karlik(4); DeadAir:monsters/poltergeist(6); DeadAir:monsters/poltergeist/distant(7); DeadAir:monsters/pseudodog(8); DeadAir:monsters/rat(6); DeadAir:monsters/snork(6); DeadAir:monsters/stalker/hiccup(1); DeadAir:monsters/tushkano(5); DeadAir:monsters/zombie(21); NLC:ambient/rnd_outdoor(18); NLC:monsters/bloodsucker(13); NLC:monsters/boar(8); NLC:monsters/burer(3); NLC:monsters/cat(2); NLC:monsters/chimera(2); NLC:monsters/controller(3); NLC:monsters/crow(3); NLC:monsters/dog(25); NLC:monsters/flesh(19); NLC:monsters/giant(9); NLC:monsters/poltergeist(6); NLC:monsters/pseudodog(7); NLC:monsters/rat(4); NLC:monsters/snork(3); NLC:monsters/stalker/hiccup(1); NLC:monsters/tushkano(5); NLC:monsters/xmonolith(3); NLC:monsters/zombie(21); OGSE:ambient/rnd_outdoor(2); OGSE:monsters/bloodsucker(13); OGSE:monsters/bloodsucker1(8); OGSE:monsters/bloodsucker3(12); OGSE:monsters/boar(8); OGSE:monsters/burer(4); OGSE:monsters/burer2(4); OGSE:monsters/cat(3); OGSE:monsters/controller(2); OGSE:monsters/controller1(2); OGSE:monsters/crow(3); OGSE:monsters/dog(28); OGSE:monsters/dog1(33); OGSE:monsters/flesh(28); OGSE:monsters/giant(5); OGSE:monsters/giant2(10); OGSE:monsters/himera(15); OGSE:monsters/himera1(11); OGSE:monsters/poltergeist(6); OGSE:monsters/poltergeist1(6); OGSE:monsters/pseudodog(7); OGSE:monsters/rat(6); OGSE:monsters/rat_strong(3); OGSE:monsters/snork(3); OGSE:monsters/snork2(4); OGSE:monsters/stalker/hiccup(1); OGSE:monsters/tushkano(5); OGSE:monsters/tushkano1(4); OGSE:monsters/zombie(23); OGSE:monsters/zombie_orig(21); OGSE:monsters/zombie_s(9); Prosector:ambient/rnd_outdoor(3); Prosector:monsters/bloodsucker(13); Prosector:monsters/boar(8); Prosector:monsters/burer(3); Prosector:monsters/cat(4); Prosector:monsters/chimera(2); Prosector:monsters/controller(2); Prosector:monsters/crow(3); Prosector:monsters/dog(22); Prosector:monsters/flesh(11); Prosector:monsters/giant(5); Prosector:monsters/poltergeist(6); Prosector:monsters/pseudodog(7); Prosector:monsters/rat(4); Prosector:monsters/snork(3); Prosector:monsters/stalker/hiccup(1); Prosector:monsters/tushkano(5); Prosector:monsters/zombie(21); RETUNE457:ambient/soundscape/mutants/bloodsucker(3); RETUNE457:ambient/soundscape/mutants/boar(5); RETUNE457:ambient/soundscape/mutants/burer(7); RETUNE457:ambient/soundscape/mutants/cat(3); RETUNE457:ambient/soundscape/mutants/chimera(1); RETUNE457:ambient/soundscape/mutants/controller(7); RETUNE457:ambient/soundscape/mutants/dog(8); RETUNE457:ambient/soundscape/mutants/flesh(5); RETUNE457:ambient/soundscape/mutants/giant(2); RETUNE457:ambient/soundscape/mutants/lurker(2); RETUNE457:ambient/soundscape/mutants/snork(4); RETUNE457:ambient/soundscape/mutants/zombie(3); RETUNE457:ambient/soundscape/underground/spooks_above/mutants(40); RETUNE457:ambient/trx/spooks_above/mutants(13); RealDistantMutants:ambient/soundscape/mutants/bloodsucker(5); RealDistantMutants:ambient/soundscape/mutants/boar(5); RealDistantMutants:ambient/soundscape/mutants/burer(7); RealDistantMutants:ambient/soundscape/mutants/cat(3); RealDistantMutants:ambient/soundscape/mutants/chimera(8); RealDistantMutants:ambient/soundscape/mutants/controller(7); RealDistantMutants:ambient/soundscape/mutants/dog(8); RealDistantMutants:ambient/soundscape/mutants/flesh(5); RealDistantMutants:ambient/soundscape/mutants/fracture(6); RealDistantMutants:ambient/soundscape/mutants/giant(5); RealDistantMutants:ambient/soundscape/mutants/lurker(4); RealDistantMutants:ambient/soundscape/mutants/poltergeist(9); RealDistantMutants:ambient/soundscape/mutants/psysucker(5); RealDistantMutants:ambient/soundscape/mutants/snork(6); RealDistantMutants:ambient/soundscape/mutants/zombie(8); SoP:monsters/bloodsucker(2); SoP:monsters/boar(2); SoP:monsters/burer(3); SoP:monsters/chimera(4); SoP:monsters/controller(2); SoP:monsters/crow(3); SoP:monsters/dog(8); SoP:monsters/flesh(3); SoP:monsters/fracture(11); SoP:monsters/giant(2); SoP:monsters/karlik(10); SoP:monsters/phantasm(3); SoP:monsters/poltergeist(4); SoP:monsters/pseudodog(6); SoP:monsters/rat(16); SoP:monsters/ratwolf(5); SoP:monsters/zombie(5); Solyanka:ambient/rnd_outdoor(18); Solyanka:monsters/bibliotekar(3); Solyanka:monsters/cat(1); Solyanka:monsters/crow(3); Solyanka:monsters/medwed(5); Solyanka:monsters/pauk(8); Solyanka:monsters/rat(2); Solyanka:monsters/ratlike(2); Solyanka:monsters/snork(3); Solyanka:monsters/swamp(1); Solyanka:monsters/tarakan(4); Solyanka:monsters/zombie_s(11); Solyanka:monsters/zombie_w(14); Soundscape:ambient/soundscape/mutants/bloodsucker(3); Soundscape:ambient/soundscape/mutants/boar(5); Soundscape:ambient/soundscape/mutants/burer(7); Soundscape:ambient/soundscape/mutants/cat(3); Soundscape:ambient/soundscape/mutants/chimera(1); Soundscape:ambient/soundscape/mutants/controller(7); Soundscape:ambient/soundscape/mutants/dog(8); Soundscape:ambient/soundscape/mutants/flesh(5); Soundscape:ambient/soundscape/mutants/giant(2); Soundscape:ambient/soundscape/mutants/lurker(2); Soundscape:ambient/soundscape/mutants/snork(4); Soundscape:ambient/soundscape/mutants/zombie(3); Soundscape:ambient/soundscape/underground/spooks_above/mutants(40); Soundscape:ambient/trx/spooks_above/mutants(40); Soundscape:monsters/bloodsucker(14); Soundscape:monsters/boar(8); Soundscape:monsters/burer(6); Soundscape:monsters/cat(7); Soundscape:monsters/chimera(6); Soundscape:monsters/controller(13); Soundscape:monsters/dog(17); Soundscape:monsters/flesh(11); Soundscape:monsters/fracture(10); Soundscape:monsters/giant(5); Soundscape:monsters/lurker(30); Soundscape:monsters/poltergeist(8); Soundscape:monsters/pseudodog(8); Soundscape:monsters/psysucker(8); Soundscape:monsters/rat(4); Soundscape:monsters/snork(6); Soundscape:monsters/zombie(21); myRETUNE:ambient/soundscape/mutants/bloodsucker(3); myRETUNE:ambient/soundscape/mutants/boar(5); myRETUNE:ambient/soundscape/mutants/burer(7); myRETUNE:ambient/soundscape/mutants/cat(3); myRETUNE:ambient/soundscape/mutants/chimera(1); myRETUNE:ambient/soundscape/mutants/controller(7); myRETUNE:ambient/soundscape/mutants/dog(8); myRETUNE:ambient/soundscape/mutants/flesh(5); myRETUNE:ambient/soundscape/mutants/giant(2); myRETUNE:ambient/soundscape/mutants/lurker(2); myRETUNE:ambient/soundscape/mutants/snork(4); myRETUNE:ambient/soundscape/mutants/zombie(3); myRETUNE:ambient/soundscape/underground/spooks_above/mutants(40); myRETUNE:ambient/trx/spooks_above/mutants(13); vanilla:ambient/lar_nature/af3(16); vanilla:ambient/rnd_outdoor(19); vanilla:ambient/trx/spooks_above/mutants(40)
mutant_ambient_forest	37	AudioExpansion:ambient/trx/spooks_above/forestdaymutants(20); AudioExpansion:ambient/trx/spooks_above/forestnightmutants(17)
mutant_ambient_swamp	33	AudioExpansion:ambient/trx/spooks_above/swampdaymutants(19); AudioExpansion:ambient/trx/spooks_above/swampnightmutants(15)
mutant_ambient_urban	43	AudioExpansion:ambient/trx/spooks_above/urbandaymutants(22); AudioExpansion:ambient/trx/spooks_above/urbannightmutants(21)
mutant_ambient_field	29	AudioExpansion:ambient/trx/spooks_above/fielddaymutants(14); AudioExpansion:ambient/trx/spooks_above/fieldnightmutants(15)
spook	1067	Amplified:ambient/anomaly(2); Amplified:ambient/lar_nature/lar_suspense(8); Amplified:ambient/soundscape/Spoops/Northern_spoops(54); Amplified:ambient/soundscape/Spoops/day_spoops(60); Amplified:ambient/soundscape/Spoops/night_spoops(55); Amplified:ambient/soundscape/underground/spooks_above(35); Amplified:ambient/soundscape/underground/spooks_above/amb_dark(16); Amplified:ambient/soundscape/underground/spooks_above/amb_night(10); Amplified:ambient/soundscape/underground/spooks_above/spooks(38); Amplified:ambient/soundscape/underground/spooks_below/spooks(23); Amplified:ambient/special(3); Amplified:ambient/trx/background(5); Amplified:ambient/trx/spooks_above/amb_dark(46); Amplified:ambient/trx/spooks_above/amb_night(10); Amplified:ambient/trx/spooks_above/spooks(37); Amplified:ambient/ugrnd(4); Amplified:anomaly(2); AudioExpansion:ambient/trx/nature/whispers(15); AudioExpansion:ambient/trx/spooks_above/amb_night(10); AudioExpansion:ambient/trx/spooks_above/spooks(29); AudioExpansion:ambient/trx/spooks_below/spooks(9); AudioExpansion:ambient/ugrnd(2); DarkSignal285:anomaly(2); DarkSignal304:ambient/anomaly(2); DarkSignal304:ambient/lar_nature/lar_suspense(8); DarkSignal304:ambient/soundscape/underground/spooks_above/amb_dark(16); DarkSignal304:ambient/soundscape/underground/spooks_above/amb_night(10); DarkSignal304:ambient/soundscape/underground/spooks_above/spooks(38); DarkSignal304:ambient/special(3); DarkSignal304:ambient/trx/background(5); DarkSignal304:ambient/trx/spooks_above/amb_dark(16); DarkSignal304:ambient/trx/spooks_above/amb_night(10); DarkSignal304:ambient/trx/spooks_above/spooks(37); DarkSignal304:ambient/ugrnd(4); DeadAir:actor/wounded_psy(13); DeadAir:affects(3); DeadAir:ambient(2); DeadAir:ambient/lar_ambients/lar_indoor(6); DeadAir:ambient/lar_ambients/lar_war(45); DeadAir:ambient/lar_ambients/metro_swamp(29); DeadAir:ambient/lar_ambients/original(7); DeadAir:ambient/lar_nature/lar_call(5); DeadAir:ambient/lar_nature/lar_ghosts(6); DeadAir:ambient/lar_nature/lar_suspense(8); DeadAir:ambient/lar_nature/metro_swamp(29); DeadAir:ambient/lar_nature/original(7); DeadAir:ambient/outdoors(6); DeadAir:ambient/rnd_outdoor(11); DeadAir:ambient/special(46); DeadAir:ambient/tuman(124); DeadAir:ambient/ugrnd(4); DeadAir:anomaly(2); DeadAir:characters_voice/human_01/bandit/help/wounded_psy(13); DeadAir:characters_voice/human_01/dolg/help/wounded_psy(13); DeadAir:characters_voice/human_01/ecolog/help/wounded_psy(13); DeadAir:characters_voice/human_01/freedom/help/wounded_psy(13); DeadAir:characters_voice/human_01/killer/help/wounded_psy(13); DeadAir:characters_voice/human_01/military/help/wounded_psy(13); DeadAir:characters_voice/human_01_custom/bandit/help/wounded_psy(13); DeadAir:characters_voice/human_01_custom/csky/help/wounded_psy(13); DeadAir:characters_voice/human_01_custom/dolg/help/wounded_psy(13); DeadAir:characters_voice/human_01_custom/freedom/help/wounded_psy(13); DeadAir:characters_voice/human_01_custom/killer/help/wounded_psy(13); DeadAir:characters_voice/human_01_custom/stalker/help/wounded_psy(13); DeadAir:characters_voice/human_02/bandit/help/wounded_psy(13); DeadAir:characters_voice/human_02/dolg/help/wounded_psy(13); DeadAir:characters_voice/human_02/ecolog/help/wounded_psy(13); DeadAir:characters_voice/human_02/freedom/help/wounded_psy(13); DeadAir:characters_voice/human_02/killer/help/wounded_psy(13); DeadAir:characters_voice/human_02/military/help/wounded_psy(13); DeadAir:characters_voice/human_02_custom/bandit/help/wounded_psy(13); DeadAir:characters_voice/human_02_custom/csky/help/wounded_psy(13); DeadAir:characters_voice/human_02_custom/dolg/help/wounded_psy(13); DeadAir:characters_voice/human_02_custom/freedom/help/wounded_psy(13); DeadAir:characters_voice/human_02_custom/killer/help/wounded_psy(13); DeadAir:characters_voice/human_02_custom/stalker/help/wounded_psy(13); DeadAir:characters_voice/human_03/bandit/help/wounded_psy(13); DeadAir:characters_voice/human_03/csky/help/wounded_psy(13); DeadAir:characters_voice/human_03/dolg/help/wounded_psy(13); DeadAir:characters_voice/human_03/ecolog/help/wounded_psy(13); DeadAir:characters_voice/human_03/freedom/help/wounded_psy(13); DeadAir:characters_voice/human_03/killer/help/wounded_psy(13); DeadAir:characters_voice/human_03/military/help/wounded_psy(13); DeadAir:characters_voice/human_03/stalker/help/wounded_psy(13); DeadAir:characters_voice/human_03_custom/bandit/help/wounded_psy(13); DeadAir:characters_voice/human_03_custom/csky/help/wounded_psy(13); DeadAir:characters_voice/human_03_custom/dolg/help/wounded_psy(13); DeadAir:characters_voice/human_03_custom/freedom/help/wounded_psy(13); DeadAir:characters_voice/human_03_custom/killer/help/wounded_psy(13); DeadAir:characters_voice/human_03_custom/stalker/help/wounded_psy(13); DeadAir:characters_voice/scenario/yantar(3); NLC:affects(2); NLC:ambient(3); NLC:ambient/inferno(10); NLC:ambient/outdoors(6); NLC:ambient/random(8); NLC:ambient/rnd_outdoor(13); NLC:ambient/special(17); NLC:ambient/tuman(87); NLC:ambient/ugrnd(4); NLC:characters_voice/human_01/bandit/help/wounded_psy(13); NLC:characters_voice/human_01/dolg/help/wounded_psy(13); NLC:characters_voice/human_01/freedom/help/wounded_psy(13); NLC:characters_voice/human_01/killer/help/wounded_psy(13); NLC:characters_voice/human_01/military/help/wounded_psy(13); NLC:characters_voice/human_01/monolith/help/wounded_psy(13); NLC:characters_voice/human_02/bandit/help/wounded_psy(13); NLC:characters_voice/human_02/dolg/help/wounded_psy(13); NLC:characters_voice/human_02/ecolog/help/wounded_psy(13); NLC:characters_voice/human_02/freedom/help/wounded_psy(13); NLC:characters_voice/human_02/killer/help/wounded_psy(13); NLC:characters_voice/human_02/military/help/wounded_psy(13); NLC:characters_voice/human_02/monolith/help/wounded_psy(13); NLC:characters_voice/human_02/newbie/help/wounded_psy(13); NLC:characters_voice/human_03/bandit/help/wounded_psy(13); NLC:characters_voice/human_03/dolg/help/wounded_psy(13); NLC:characters_voice/human_03/ecolog/help/wounded_psy(13); NLC:characters_voice/human_03/freedom/help/wounded_psy(13); NLC:characters_voice/human_03/killer/help/wounded_psy(13); NLC:characters_voice/human_03/military/help/wounded_psy(13); NLC:characters_voice/human_03/monolith/help/wounded_psy(13); NLC:characters_voice/human_03/newbie/help/wounded_psy(13); NLC:characters_voice/human_03/stalker/help/wounded_psy(13); NLC:characters_voice/scenario/yantar(3); NLC:fear_sounds/forest(17); NLC:fear_sounds/hospital(17); NLC:fear_sounds/limansk(17); NLC:fear_sounds/outdoors(28); NLC:fear_sounds/peshery(25); NLC:fear_sounds/pripyat(15); NLC:fear_sounds/rostok(1); NLC:fear_sounds/stancia(10); NLC:fear_sounds/underground(17); OGSE:affects(2); OGSE:ambient(2); OGSE:ambient/outdoors(6); OGSE:ambient/random(9); OGSE:ambient/rnd_outdoor(9); OGSE:ambient/special(4); OGSE:characters_voice/human_01/bandit/help/wounded_psy(13); OGSE:characters_voice/human_01/dolg/help/wounded_psy(13); OGSE:characters_voice/human_01/ecolog/help/wounded_psy(13); OGSE:characters_voice/human_01/freedom/help/wounded_psy(13); OGSE:characters_voice/human_01/killer/help/wounded_psy(13); OGSE:characters_voice/human_01/military/help/wounded_psy(13); OGSE:characters_voice/human_01/monolith/help/wounded_psy(13); OGSE:characters_voice/human_01/stalker/help/wounded_psy(5); OGSE:characters_voice/human_02/bandit/help/wounded_psy(13); OGSE:characters_voice/human_02/dolg/help/wounded_psy(13); OGSE:characters_voice/human_02/ecolog/help/wounded_psy(13); OGSE:characters_voice/human_02/freedom/help/wounded_psy(13); OGSE:characters_voice/human_02/killer/help/wounded_psy(13); OGSE:characters_voice/human_02/military/help/wounded_psy(13); OGSE:characters_voice/human_02/monolith/help/wounded_psy(13); OGSE:characters_voice/human_02/newbie/help/wounded_psy(13); OGSE:characters_voice/human_02/stalker/help/wounded_psy(5); OGSE:characters_voice/human_03/bandit/help/wounded_psy(13); OGSE:characters_voice/human_03/csky/help/wounded_psy(13); OGSE:characters_voice/human_03/dolg/help/wounded_psy(13); OGSE:characters_voice/human_03/ecolog/help/wounded_psy(13); OGSE:characters_voice/human_03/freedom/help/wounded_psy(13); OGSE:characters_voice/human_03/killer/help/wounded_psy(13); OGSE:characters_voice/human_03/military/help/wounded_psy(13); OGSE:characters_voice/human_03/monolith/help/wounded_psy(13); OGSE:characters_voice/human_03/newbie/help/wounded_psy(13); OGSE:characters_voice/human_03/stalker/help/wounded_psy(13); OGSE:characters_voice/human_04/bandit/help/wounded_psy(13); OGSE:characters_voice/human_04/stalker/help/wounded_psy(5); OGSE:characters_voice/scenario/yantar(4); Prosector:affects(2); Prosector:ambient(3); Prosector:ambient/outdoors(6); Prosector:ambient/pripyat(3); Prosector:ambient/random(8); Prosector:ambient/rnd_outdoor(12); Prosector:ambient/special(32); Prosector:ambient/tuman(52); Prosector:characters_voice/_deleted/help/wounded_psy(13); Prosector:characters_voice/common/help/wounded_psy(13); Prosector:characters_voice/scenario/yantar(4); RETUNE457:ambient/soundscape/underground/spooks_above/amb_dark(16); RETUNE457:ambient/soundscape/underground/spooks_above/amb_night(10); RETUNE457:ambient/soundscape/underground/spooks_above/spooks(38); RETUNE457:ambient/soundscape/underground/spooks_below/spooks(41); RETUNE457:ambient/trx/spooks_above/amb_dark(16); RETUNE457:ambient/trx/spooks_above/amb_night(10); RETUNE457:ambient/trx/spooks_above/spooks(33); RETUNE457:ambient/trx/spooks_below/spooks(22); SoP:ambient/rnd_outdoor(10); SoP:ambient/special(74); SoP:ambient/weather(1); Solyanka:ambient/outdoors(6); Solyanka:ambient/rnd_outdoor(2); Solyanka:ambient/special(18); Solyanka:ambient/tuman(124); Solyanka:ambient/ugrnd(4); Solyanka:characters_voice/bandos_zaton/bandit/help/wounded_psy(13); Solyanka:characters_voice/scenario/yantar(1); Solyanka:horror(41); Soundscape:ambient/soundscape/underground/spooks_above/amb_dark(16); Soundscape:ambient/soundscape/underground/spooks_above/amb_night(10); Soundscape:ambient/soundscape/underground/spooks_above/spooks(37); Soundscape:ambient/soundscape/underground/spooks_below/spooks(23); Soundscape:ambient/trx/spooks_above/amb_dark(16); Soundscape:ambient/trx/spooks_above/amb_night(10); Soundscape:ambient/trx/spooks_above/spooks(37); Soundscape:anomaly(2); myRETUNE:ambient/soundscape/underground/spooks_above/amb_dark(16); myRETUNE:ambient/soundscape/underground/spooks_above/amb_night(10); myRETUNE:ambient/soundscape/underground/spooks_above/spooks(38); myRETUNE:ambient/soundscape/underground/spooks_below/spooks(41); myRETUNE:ambient/trx/spooks_above/amb_dark(16); myRETUNE:ambient/trx/spooks_above/amb_night(10); myRETUNE:ambient/trx/spooks_above/spooks(33); myRETUNE:ambient/trx/spooks_below/spooks(22); vanilla:ambient(2); vanilla:ambient/lar_nature/lar_call(5); vanilla:ambient/lar_nature/lar_ghosts(6); vanilla:ambient/lar_nature/lar_suspense(8); vanilla:ambient/lar_nature/metro_swamp(29); vanilla:ambient/lar_nature/original(7); vanilla:ambient/outdoors(6); vanilla:ambient/rnd_outdoor(11); vanilla:ambient/special(41); vanilla:ambient/trx/background(5); vanilla:ambient/trx/spooks_above/amb_dark(16); vanilla:ambient/trx/spooks_above/amb_night(10); vanilla:ambient/trx/spooks_above/spooks(37); vanilla:ambient/trx/spooks_below/spooks(23); vanilla:ambient/tuman(124); vanilla:ambient/ugrnd(4)
scream	46	Amplified:ambient/soundscape/underground/spooks_above/screams(25); Amplified:ambient/trx/spooks_above/screams(25); AudioExpansion:ambient/trx/spooks_above/screams(21); DarkSignal304:ambient/soundscape/underground/spooks_above/screams(25); DarkSignal304:ambient/trx/spooks_above/screams(25); DeadAir:ambient/rnd_outdoor(3); DeadAir:ambient/tuman(3); NLC:ambient/random(1); NLC:ambient/rnd_outdoor(6); NLC:ambient/tuman(3); OGSE:ambient/random(1); OGSE:ambient/rnd_outdoor(3); Prosector:ambient/random(1); Prosector:ambient/rnd_outdoor(5); RETUNE457:ambient/soundscape/underground/spooks_above/screams(25); RETUNE457:ambient/trx/spooks_above/screams(25); SoP:ambient/rnd_outdoor(1); Solyanka:ambient/rnd_outdoor(3); Solyanka:ambient/tuman(3); Soundscape:ambient/soundscape/underground/spooks_above/screams(25); Soundscape:ambient/trx/spooks_above/screams(25); myRETUNE:ambient/soundscape/underground/spooks_above/screams(25); myRETUNE:ambient/trx/nature/screams(10); myRETUNE:ambient/trx/spooks_above/screams(25); vanilla:ambient/rnd_outdoor(3); vanilla:ambient/trx/spooks_above/screams(25); vanilla:ambient/tuman(3)
drone	73	Amplified:ambient/soundscape/underground/spooks_above/drone(11); Amplified:ambient/soundscape/underground/spooks_below/drone(11); Amplified:ambient/trx/spooks_above/drone(11); Amplified:ambient/trx/spooks_below/drone(10); AudioExpansion:ambient/trx/spooks_below/drone(8); DarkSignal304:ambient/soundscape/underground/spooks_above/drone(11); DarkSignal304:ambient/soundscape/underground/spooks_below/drone(11); DarkSignal304:ambient/trx/spooks_above/drone(11); DarkSignal304:ambient/trx/spooks_below/drone(10); RETUNE457:ambient/soundscape/underground/spooks_above/drone(11); RETUNE457:ambient/soundscape/underground/spooks_below/drone(11); RETUNE457:ambient/trx/spooks_above/drone(11); RETUNE457:ambient/trx/spooks_below/drone(11); Soundscape:ambient/soundscape/underground/spooks_above/drone(11); Soundscape:ambient/soundscape/underground/spooks_below/drone(10); Soundscape:ambient/trx/spooks_above/drone(11); myRETUNE:ambient/soundscape/underground/spooks_above/drone(11); myRETUNE:ambient/soundscape/underground/spooks_below/drone(11); myRETUNE:ambient/trx/spooks_above/drone(14); myRETUNE:ambient/trx/spooks_below/drone(11); vanilla:ambient/trx/spooks_above/drone(11); vanilla:ambient/trx/spooks_below/drone(10)
dark_signal	131	Amplified:ambient/soundscape/dark_signal(50); Amplified:radio/white_noise(8); DeadAir:ambient/lar_ambients/metro_horror(38); DeadAir:ambient/lar_nature/metro_horror(38); vanilla:ambient/lar_nature/metro_horror(38)
industrial	96	Amplified:ambient/soundscape/Spoops/day_drones(25); Amplified:ambient/soundscape/Spoops/drones(41); Amplified:ambient/soundscape/Spoops/urban_drones(57)
