pack	file	status
DarkSigWeather	ambient/air_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/air_2.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/amb1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/ambience03.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/anomaly/acid_rain.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/anomaly_body_tear_1.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/anomaly_gravy_blast.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/anomaly_gravy_blast00.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/anomaly_gravy_blast01.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/anomaly_gravy_blast1.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/anomaly_gravy_hit.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/anomaly_gravy_hit1.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/anomaly_gravy_idle.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/anomaly_mincer_blowout.ogg	EMISSION-excluded
DarkSigWeather	ambient/anomaly/bfuzz_blowout.ogg	EMISSION-excluded
DarkSigWeather	ambient/anomaly/bfuzz_hit.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/blowout.ogg	EMISSION-excluded
DarkSigWeather	ambient/anomaly/buzz_hit.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/buzz_idle.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/electra_blast.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/electra_blast1.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/electra_hit.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/electra_hit1.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/electra_idle1.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/emi_blowout.ogg	EMISSION-excluded
DarkSigWeather	ambient/anomaly/emi_blowout_01.ogg	EMISSION-excluded
DarkSigWeather	ambient/anomaly/emi_blowout_02.ogg	EMISSION-excluded
DarkSigWeather	ambient/anomaly/emi_entrance.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/emi_idle.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/fire2.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/fire_idle.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/fireball_blow.ogg	off-scope-or-dup
DarkSigWeather	ambient/anomaly/fireball_idle.ogg	off-scope-or-dup
