deployed	category	orig_mod	orig_dir	orig_file	base_volume
zs\bats\all\sound_01_248dfc0340	bats	AudioExpansion	ambient/trx/nature/bats	sound_01	2.0
zs\bats\all\sound_02_9fcbab3ade	bats	AudioExpansion	ambient/trx/nature/bats	sound_02	2.0
zs\bats\all\sound_01_5f990e3522	bats	AudioExpansion	ambient/trx/spooks_below/bats	sound_01	1.364
zs\bats\all\sound_02_bf5ef6d17a	bats	AudioExpansion	ambient/trx/spooks_below/bats	sound_02	1.214
zs\bats\all\sound_03_635edf4cf9	bats	AudioExpansion	ambient/trx/nature/bats	sound_03	2.0
zs\bats\all\sound_03_37fa540bea	bats	AudioExpansion	ambient/trx/spooks_below/bats	sound_03	1.882
zs\bats\all\sound_04_557875ffb5	bats	AudioExpansion	ambient/trx/nature/bats	sound_04	2.0
zs\bats\all\sound_05_e55c8b172a	bats	AudioExpansion	ambient/trx/nature/bats	sound_05	2.0
zs\bats\all\sound_06_1d090087aa	bats	AudioExpansion	ambient/trx/nature/bats	sound_06	2.0
zs\bats\all\sound_04_66884ed522	bats	AudioExpansion	ambient/trx/spooks_below/bats	sound_04	3.901
zs\bats\all\sound_05_14c0301cfb	bats	AudioExpansion	ambient/trx/spooks_below/bats	sound_05	3.862
zs\bats\all\sound_06_7186d712f6	bats	AudioExpansion	ambient/trx/spooks_below/bats	sound_06	3.604
zs\dark_signal\all\darksignal1_5ee7a3a45c	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal1	1.177
zs\dark_signal\all\darksignal10_fa5f7e70fa	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal10	1.0
zs\dark_signal\all\darksignal11_1ed5d270e5	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal11	1.0
zs\dark_signal\all\darksignal12_d146dae260	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal12	1.072
zs\dark_signal\all\darksignal13_145effec8d	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal13	1.221
zs\dark_signal\all\darksignal14_dfb37951d4	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal14	1.124
zs\dark_signal\all\darksignal15_a635ddcae4	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal15	1.208
zs\dark_signal\all\darksignal16_4b8fb0ecc7	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal16	1.177
zs\dark_signal\all\darksignal17_e10e54b888	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal17	1.0
zs\dark_signal\all\darksignal18_2927ef75bd	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal18	1.22
zs\dark_signal\all\darksignal2_1f4c93ec30	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal2	1.307
zs\dark_signal\all\darksignal3_0a7fe70731	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal3	1.0
zs\dark_signal\all\darksignal4_d3ee6849fe	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal4	1.0
zs\dark_signal\all\darksignal5_417b4ef8a3	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal5	2.292
zs\dark_signal\all\darksignal6_339a89083f	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal6	2.116
zs\dark_signal\all\darksignal7_3194c0c98f	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal7	1.0
zs\dark_signal\all\darksignal8_050a3cf314	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal8	1.0
zs\dark_signal\all\darksignal9_f5e0134b57	dark_signal	Amplified	ambient/soundscape/dark_signal	darksignal9	1.0
zs\dark_signal\all\radiosignal1_6b6be62e5b	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal1	1.0
zs\dark_signal\all\radiosignal10_23ff68a56d	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal10	1.921
zs\dark_signal\all\radiosignal11_1d7c30031f	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal11	1.0
zs\dark_signal\all\radiosignal12_277d14fcf8	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal12	1.432
zs\dark_signal\all\radiosignal13_48ebebf227	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal13	1.179
zs\dark_signal\all\radiosignal14_c7ae23c70d	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal14	1.0
zs\dark_signal\all\radiosignal15_241970c6e1	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal15	1.303
zs\dark_signal\all\radiosignal16_923f24a266	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal16	1.537
zs\dark_signal\all\radiosignal17_bdcd83ca15	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal17	1.0
zs\dark_signal\all\radiosignal18_889b3f6524	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal18	1.494
zs\dark_signal\all\radiosignal19_a22dba562a	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal19	1.003
zs\dark_signal\all\radiosignal2_a90cb415dd	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal2	1.0
zs\dark_signal\all\radiosignal20_cef69b36af	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal20	1.0
zs\dark_signal\all\radiosignal21_a37dfb94ca	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal21	1.273
zs\dark_signal\all\radiosignal22_cca79b824f	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal22	1.0
zs\dark_signal\all\radiosignal23_4be64d5e8a	dark_signal	Amplified	ambient/soundscape/dark_signal	radiosignal23	1.572
